	dendritic	endothelial	eosinophil	erythroblast	macrophage	monocyte	neutrophil	placenta	tcell	adipose	brain	fibroblast	heart	hepatocyte	lung	mammary	megakaryocyte	skeletal	small	unknown1
als1	0.018166749392774566	0.005501795496617353	0.025985696171165303	0.04668409629962524	0.041089763216248756	0.06222778005066805	0.29985735017888965	0.01082684184609848	0.006853721097405958	1.5029756241986783e-12	4.8119641365293704e-15	0.01765817942013912	3.124889870023636e-10	2.7130707334609956e-14	7.92900054698394e-14	5.640773108521288e-12	0.11393458745163602	0.01083173510519478	0.1732661231362894	0.16711558081750333
als10	0.03564011559465941	0.027571258872627482	0.04628775839708906	0.1288841460502907	0.09600797579959514	0.07781638308966655	0.26597585300658366	0.024865797992074945	0.021943537215540657	3.852926005204809e-07	1.2209931033689499e-06	0.021270313028307997	8.407408804573309e-08	2.005036469287518e-06	1.5845265633019088e-07	0.00032067301520214526	0.01427006028330572	0.04583007918021681	0.08833148445752986	0.10498071016839229
als11	0.03955769949868479	0.005431023188483215	0.124780640219343	0.027722415978878978	0.0885075454139743	0.07024371856018675	0.1386138091642296	0.031197734995147334	0.04550827812066108	1.736087442878978e-11	8.084952374540713e-13	0.024241323460709313	1.7927760192150472e-10	8.471269398801758e-13	1.0445224997853613e-12	2.6989156632460342e-08	0.18366706898927632	0.0015168279338233412	0.047145916639188414	0.17186597064891806
als12	0.07390001477971149	0.01016212793137596	0.07178747900054441	0.05931141969811341	0.017988228847096385	0.05766586379454123	0.22768421149271617	0.007876482583332624	0.009382853930684323	8.855717463042445e-15	3.811930022490152e-16	0.014707205384493516	7.202256823038626e-12	1.4626918850148088e-13	2.3715030726774403e-15	2.1045939837833077e-10	0.2172256238873212	0.012750995985451131	0.02702905833193825	0.19252843413486034
als13	0.02735518223716514	0.019248140764463864	0.07740032661120572	0.028320914066877555	0.07737732777463101	0.06490548417365173	0.13414105797986794	0.0018336295336522314	8.865786213334342e-05	0.04706933471740077	0.010290872377387081	0.051930338446841674	0.005106511448957314	0.0019446819295013268	0.03134261862939708	1.4402213651633559e-05	0.03705262008339331	0.002375844248548558	0.03551671236727559	0.34668534253399713
als14	0.03563570841123651	0.09353647168764617	0.052694913566974914	0.09135574289024254	0.053550448942185115	0.06369068098557043	0.2029253289760219	0.007420858136521031	0.008803970301541566	2.7072876031022656e-06	9.682572292989717e-08	0.010547424383795032	1.0399819027287177e-05	2.050572558174939e-08	2.9202696455884457e-08	9.718702377654352e-07	0.15636841975220317	0.019973256922896372	0.03873037684850714	0.1647521726836451
als15	0.040105010295836005	0.003797971846842649	0.038753486695632854	0.08763627222981402	0.00999400529172273	0.07220186716252425	0.23550614116161453	0.00702080086290921	0.023238314713768162	2.3028183824306975e-12	2.6349154741296678e-15	0.013085339819749839	1.5020785960657136e-10	9.978921126500663e-14	1.1985234152722885e-14	3.6800990157534817e-13	0.20851843924307467	0.10237577455420867	0.06378689988863902	0.09397967608067014
als16	0.013929031070828466	0.024485708266707	0.050062050616323066	0.11802292307920895	0.05102695040776492	0.07138081896013637	0.25442689736159413	0.007978595404635188	0.008395761913814402	0.0003354708691982125	0.024537716732615896	0.009363342466935655	0.006732486030864107	0.0007456615094661026	0.0002871372888338176	0.008880220607901501	0.14805527120229278	0.004301426016948182	0.05758320347371944	0.1394693267202118
ctrl17	0.031347631966444994	0.003947965401481227	0.11028980959389532	0.059684344090693266	0.04190381413735386	0.02913389383115365	0.34101253698166817	0.019359573186604164	0.010504394305033193	1.687398877873427e-05	1.2254961221657952e-05	0.00301736309788257	0.003747766717099728	6.71072214381247e-08	1.4687085559751307e-05	6.315676615812141e-10	0.05331060357675932	0.018877678754299246	0.010291646445008195	0.26352709414027364
ctrl18	0.015964571995279616	0.017838351393140647	0.03500529873609351	0.07470144356976216	0.034993564222739686	0.08622787100051851	0.2760129255224205	0.02292296744660793	0.0539811673651895	5.797442858065488e-13	1.5501590748396958e-14	0.0002763465408854672	1.566298051549095e-11	3.7751245058652017e-14	2.9252786808721214e-13	7.094453805237778e-10	0.15960718414308914	0.007128965189417998	0.12176088320014276	0.09357845894867865
