	dendritic	endothelial	eosinophil	erythroblast	macrophage	monocyte	neutrophil	placenta	tcell	adipose	brain	fibroblast	heart	hepatocyte	lung	mammary	megakaryocyte	skeletal	small	unknown1
nonpreg1	0.05595907413823778	0.05440001868867939	0.057692725442121486	0.12719469625374638	0.027515748596454576	0.048066298316650345	0.0819695708327171	0.0034696997153575108	0.049618662250283066	1.7748621255979244e-41	1.2048003777550564e-45	8.805402565032261e-11	2.685937933619652e-33	1.2317793501933058e-36	3.361980523186601e-43	2.026684894983215e-27	0.08125287548982875	0.01128921437801233	0.04729579249915662	0.3542756233107006
nonpreg2	0.16650127467182013	0.09420373113440761	0.06164439535059059	0.0354396897997981	0.029870268875904323	0.07092061470660813	0.05312650567676429	0.01106670516569275	0.07435003104802336	2.4551927202302587e-29	1.9455088158342435e-33	7.95060118917527e-05	6.956907845961177e-23	4.9290740275712384e-27	3.726032619230731e-30	1.0277097149469765e-19	0.09663105497204437	3.311367675903143e-05	0.00665053323977581	0.2994825756699198
nonpreg3	0.10013869391992923	0.017230252147985303	0.09464647509465424	0.0998209957944691	0.01400415702785367	0.08841470980630169	0.1313976564113124	0.013800623417992968	0.06222384349310934	2.300845302135035e-36	4.461438004222014e-43	1.045021994269185e-06	4.908052075576478e-29	4.295857281287488e-39	1.693022572608086e-40	6.191058982033745e-31	0.04581559814754263	0.016145191463221895	0.04837731787571066	0.2679834403779228
nonpreg4	0.06399879262985013	0.010728672761661298	0.14210943003990967	0.03125767426088076	0.03125413819493647	0.08267852013351659	0.1956960687206039	0.014016237961740542	0.06778312281196697	2.038158283502659e-33	5.800774167306556e-37	1.3088448746154314e-08	1.6009954601992527e-25	5.605955438365807e-33	1.2942148587732498e-35	8.273123292638706e-27	0.06273842156703632	1.3634983632667378e-07	0.015266642661204718	0.28247212881840755
nonpreg5	0.09164502702207268	0.0024727701430027936	0.0804663748614008	0.07399419781089335	0.029403469571147173	0.05978160981340145	0.15688269877182673	0.004472918708993006	0.035138688927806166	2.309656229949128e-44	1.687911030482978e-55	1.0454339822780796e-07	2.039977666409399e-34	6.23961206422277e-48	2.278480362194583e-50	2.653963541682281e-35	0.16925451813744843	4.158583554214854e-06	0.021202428558139214	0.27528103454691577
nonpreg6	0.00014434072269306697	0.03840248680903536	0.13164075473719936	0.06580795165021432	0.009338593044731287	0.17909192616837696	0.14971823839199008	0.013770676065159628	0.055966491162800364	1.7800959637029244e-32	5.541354877656137e-35	1.3176923067800042e-06	3.5513423134682105e-25	4.839542711175348e-29	3.4229340041328754e-33	1.013971123085222e-19	0.07956355238641767	0.0011064985465704922	0.028400545758232976	0.2470466268642717
nonpreg7	0.07526689398373697	0.05372291668070286	0.07754131476269742	0.14535873281612616	0.012025121651075523	0.1140219417325306	0.11465702404564831	0.004011290883634009	0.020073941670357576	3.1849397997641313e-32	5.443749373777401e-32	3.425734321826513e-05	3.486215567890647e-25	3.6667138336937007e-28	6.416321910942409e-33	6.46756287757212e-25	0.08454788988036263	0.0001476303396233753	0.05141047873954712	0.2471805654707392
nonpreg8	0.055472172788635914	0.0006872631181941423	0.058454209061576584	0.02189373645656499	0.0608543533372469	0.06630858693637165	0.18498878187243903	0.004720099290991856	0.04589165247195932	4.915241897073205e-42	3.4320926284389512e-46	0.0008722005073776	5.041534821849113e-34	4.350905026947297e-41	4.4841445977919456e-44	5.274967604479972e-31	0.1587673951727405	9.604375037804301e-10	0.0733101053695823	0.2677794426558817
preg1	0.006602789171480091	0.03261202980640029	0.05213484516865012	0.11184944914206467	0.03614071444977148	0.03147149180175926	0.24736747613162785	0.07682959816053643	0.04445463851459953	4.538779277151037e-51	5.55484516665055e-59	5.5990227734402565e-12	2.99101818393193e-39	1.1074818401520536e-51	1.0693382751812377e-54	2.274272425443365e-38	0.1277070856278699	4.796894096744624e-08	0.05220138545908682	0.18062844859161342
preg2	0.0012985756361996016	0.08607983573550854	0.05270537401708587	0.012047978529250603	0.046693785293234175	0.08129424817459203	0.24980327461171262	0.11835551012540627	0.05135567664074372	2.6860699818333722e-17	9.901632346255308e-18	0.0001504408364782965	7.199191388042112e-13	1.3008720705713061e-14	2.7527336371360888e-15	3.26658956766637e-14	0.03308095977274041	1.3608104367168085e-06	0.0431677119579084	0.22396526785793444
preg3	0.01858107059507625	0.009167126057449449	0.008198873843294308	0.16088828860677695	0.03661063420121057	0.044366354183271464	0.13435290758753501	0.08729445978172905	0.028660514422578765	7.128664469142251e-41	5.491697138218097e-43	1.2323138348166743e-06	6.524147053150102e-33	1.048316410449128e-34	2.840760742369067e-42	2.5134552080724987e-24	0.16730037009300197	1.636500724093822e-06	0.049791079841592235	0.25478545197192504
preg4	0.03043773611932043	0.04693008874376266	0.05554175560591574	0.022497369658962905	0.02981456222186416	0.03369083502419755	0.32969822194300497	0.11297124320772456	0.06093310164486001	2.7011930533620965e-20	3.5796765673497246e-22	2.2574604520373875e-08	2.854067364336345e-17	3.940282510566062e-21	2.7777089942542115e-20	1.912914527724829e-18	0.09005399488289913	3.4600632447793737e-08	0.032391080024286284	0.15503995374796456
preg5	0.0816984609222092	0.09672639345317992	0.02496873938786807	0.15934256418429096	0.03493496029502231	0.04166281079120436	0.08114213309513044	0.08424641862301853	0.04384020550446524	9.473734889866396e-15	6.724057928952848e-14	1.0914259583253921e-06	1.6500930644443278e-13	2.442876370415484e-10	1.7589012046283877e-12	5.237244138945343e-06	0.0714388963600275	0.006991543261827295	0.01830815773474511	0.25469238747062534
preg6	0.021848072996151713	0.043284872606837305	0.010737513745178845	0.06561741831730028	0.01828686401381852	0.08350606933243272	0.0634349357786493	0.03642091283735348	0.031749644354819716	1.9110650961841513e-43	1.19883702217926e-51	3.869601270917347e-09	5.764176853907543e-33	7.394196876877425e-47	4.2631539355980806e-48	3.317594792143135e-37	0.31279308117026916	2.613642620222676e-06	0.05539503228745569	0.2569229650475117
preg7	0.005245639408911512	0.05599441195509405	0.0952423665792846	0.03194378817660157	0.17470158848255582	0.013148033318659222	0.08573934382275517	0.12939958712613897	0.05011297587101506	0.000672906708694359	0.0009224058639774566	2.846256015590203e-07	3.3350354271036614e-07	6.34082404840012e-05	0.006201916983018042	4.887366311767667e-10	0.0779870894277984	0.0019769815988235372	0.0365056217645653	0.23414131605374214
