samples,tissue,estimate,status
nonpreg1,dendritic,0.15471249442885568,not pregnant
nonpreg2,dendritic,0.17136662017855853,not pregnant
nonpreg3,dendritic,0.006054239819712299,not pregnant
nonpreg4,dendritic,0.0471309200821829,not pregnant
nonpreg5,dendritic,0.13579079749355746,not pregnant
nonpreg6,dendritic,0.08958963745870713,not pregnant
nonpreg7,dendritic,0.0915940612937478,not pregnant
nonpreg8,dendritic,0.1000799459129606,not pregnant
preg1,dendritic,0.04610973729611687,pregnant
preg2,dendritic,0.06295235297909997,pregnant
preg3,dendritic,0.0856998182121533,pregnant
preg4,dendritic,0.01925272024600108,pregnant
preg5,dendritic,0.12645445244779166,pregnant
preg6,dendritic,0.11929757502515413,pregnant
preg7,dendritic,1.4747423605730975e-05,pregnant
nonpreg1,endothelial,0.047932731955612935,not pregnant
nonpreg2,endothelial,0.09028329892698447,not pregnant
nonpreg3,endothelial,0.01917150250591755,not pregnant
nonpreg4,endothelial,0.00581904316081466,not pregnant
nonpreg5,endothelial,3.720449905309821e-05,not pregnant
nonpreg6,endothelial,0.024903964740558227,not pregnant
nonpreg7,endothelial,0.0554567809483119,not pregnant
nonpreg8,endothelial,2.4129567172927847e-08,not pregnant
preg1,endothelial,0.02769171222697575,pregnant
preg2,endothelial,0.07569616850163176,pregnant
preg3,endothelial,0.00029899653238665743,pregnant
preg4,endothelial,0.046756203931004735,pregnant
preg5,endothelial,0.09214620863980906,pregnant
preg6,endothelial,0.0402133479968656,pregnant
preg7,endothelial,0.0607681071546585,pregnant
nonpreg1,eosinophil,0.027216758388929792,not pregnant
nonpreg2,eosinophil,0.04196723268490582,not pregnant
nonpreg3,eosinophil,0.06484923140198262,not pregnant
nonpreg4,eosinophil,0.08121539414154788,not pregnant
nonpreg5,eosinophil,0.04578201292292273,not pregnant
nonpreg6,eosinophil,0.09353829060946983,not pregnant
nonpreg7,eosinophil,0.06095783531352264,not pregnant
nonpreg8,eosinophil,0.03710039552084735,not pregnant
preg1,eosinophil,0.021831322431645653,pregnant
preg2,eosinophil,0.034872277156150135,pregnant
preg3,eosinophil,0.025273110470938345,pregnant
preg4,eosinophil,0.04071598442113178,pregnant
preg5,eosinophil,0.030837731434650236,pregnant
preg6,eosinophil,0.025134304300673163,pregnant
preg7,eosinophil,0.09967551343423768,pregnant
nonpreg1,erythroblast,0.08885985850342189,not pregnant
nonpreg2,erythroblast,0.012538230144090196,not pregnant
nonpreg3,erythroblast,0.07350915894436245,not pregnant
nonpreg4,erythroblast,0.0139541738868103,not pregnant
nonpreg5,erythroblast,0.06702811472288983,not pregnant
nonpreg6,erythroblast,0.04502442965881946,not pregnant
nonpreg7,erythroblast,0.03157040754531448,not pregnant
nonpreg8,erythroblast,0.04517861428813735,not pregnant
preg1,erythroblast,0.08775046865229089,pregnant
preg2,erythroblast,0.007381880059173102,pregnant
