chrom	start	end	dendritic_meth	dendritic_depth	endothelial_meth	endothelial_depth	eosinophil_meth	eosinophil_depth	erythroblast_meth	erythroblast_depth	macrophage_meth	macrophage_depth	monocyte_meth	monocyte_depth	neutrophil_meth	neutrophil_depth	placenta_meth	placenta_depth	tcell_meth	tcell_depth	adipose_meth	adipose_depth	brain_meth	brain_depth	fibroblast_meth	fibroblast_depth	heart_meth	heart_depth	hepatocyte_meth	hepatocyte_depth	lung_meth	lung_depth	mammary_meth	mammary_depth	megakaryocyte_meth	megakaryocyte_depth	skeletal_meth	skeletal_depth	small_intestine_meth	small_intestine_depth
chr1	135046	135547	1257.02	1315	916.994	974	1330.1	1392	1905.894	2063	783.043	816	833.056	850	1102.109	1160	439	477	623.999	657	436.24	463	101.0002	110	644.01	690	852.04	877	4255.97	4447	648.11	680	61	62	2296.992	2467	346.97	368	189.01	195
chr1	1764706	1765207	610.945	909	1585.117	1652	94.989	1041	1370.116	1456	582.022	911	751.925	1193	392.956	2128	570	621	1453.073	1509	787.19	1085	138.0007	180	449.94	518	1957.23	2110	1119.44	2980	1131.47	1428	372.0029	422	1076.043	1135	557.88	600	568.35	641
chr1	4220188	4220689	631.108	725	463.02	593	474.032	586	475.062	614	519.989	667	468.929	565	613.022	751	111	199	557.98	656	553.28	682	226.9982	326	143.08	466	947.84	1227	1452.35	2112	643.77	824	145.9991	344	492.05	646	263.74	402	222.13	302
chr1	6365086	6365587	426.022	485	473.913	510	459.992	534	250.016	281	406.994	438	394.997	422	662.004	723	64	214	57.999	365	621.95	740	107.0015	126	408.33	475	956.56	1067	1031.68	1185	563.72	664	189	219	306.996	336	417.71	440	260.39	327
chr1	6604509	6605010	460.977	481	279.011	413	654.996	709	547.038	571	572.97	612	656.04	681	1289.012	1367	217	254	788.023	810	1347.83	1484	298.9972	334	452.54	658	1803.43	2071	1390.97	2195	1259.21	1369	464.0013	513	363.998	383	684	783	712	746
chr1	6666578	6667079	341.045	351	297.014	312	358.009	371	94.026	173	288.991	304	404.016	417	820.985	866	101	133	493.982	507	571.01	610	153.0004	160	264.85	270	571.05	828	1405.07	1494	562.02	590	201.0016	236	228.976	246	366.08	387	264.04	289
chr1	8152869	8153370	2336	2486	2595.88	2652	2088.18	2216	2013.712	2278	1967.81	2042	1275.998	1306	1890.304	2008	794	818	162.05	1980	1699.12	1810	296.0006	324	634.14	676	2776.88	2952	4028.4	4810	1848.12	1982	451.997	462	2048.03	2298	803.8	826	722.18	860
chr1	8152871	8153372	2336	2486	2595.88	2652	2088.18	2216	2013.712	2278	1967.81	2042	1275.998	1306	1890.304	2008	794	818	162.05	1980	1699.12	1810	296.0006	324	634.14	676	2776.88	2952	4028.4	4810	1848.12	1982	451.997	462	2048.03	2298	803.8	826	722.18	860
chr1	8388116	8388617	2126.925	3228	3897.228	4074	1259.985	2451	4067.889	4308	1344.042	2217	1395.153	2352	936.264	3009	672	750	3498.18	3615	1253.73	1527	827.9994	888	2186.88	2244	1723.11	1917	2873.85	3456	1405.26	1623	1626.0069	1698	3687.108	3858	1511.82	1575	588.18	642
chr1	8388154	8388655	2494.941	3612	4163.182	4358	1493.955	2697	4443.767	4704	1568.102	2453	1617.151	2590	1070.272	3267	746	830	3888.176	4009	1547.69	1891	952.001	1016	2373.2	2444	2231.15	2441	3786.99	4392	1783.74	2031	1750.0077	1824	4109.066	4292	1657.82	1721	740.06	800
chr1	8388169	8388670	2576.941	3704	4215.171	4416	1542.937	2756	4520.774	4784	1619.098	2508	1672.151	2651	1085.266	3335	764	849	3984.169	4106	1620.71	1988	981.9999	1051	2419.18	2491	2371.89	2588	3966.66	4576	1889.58	2149	1782.0077	1856	4206.066	4390	1699.82	1763	777.07	838
chr1	9853571	9854072	16	16	12	15	0	30	7	7	11	11	55	55	54.012	57	9	10	22.998	25	118.26	120	11.0001	12	43.97	46	142.03	150	130.89	136	86	89	26.9992	30	3	3	76.2	77	56.02	57
chr1	9854262	9854763	241.996	249	97.996	103	18.994	203	144.021	169	142	147	284.044	297	385.021	394	129	136	223.988	242	689.93	722	163.0016	167	512.46	544	992.03	1014	643.46	672	638.57	652	250.0022	261	147.003	163	325.12	328	396.85	406
chr1	9854511	9855012	199.006	200	82.999	85	25.002	153	78.004	90	105.992	114	279.01	295	327.003	332	129	137	192.008	208	684.25	710	129.0022	136	383.65	412	880.97	891	355.46	368	579.42	599	188.0015	195	80.005	87	277.05	283	348.82	353
chr1	10409772	10410273	366.975	374	342.025	354	178.005	310	326.061	377	271.964	281	309.004	313	316.031	509	118	128	384.035	393	427.56	469	57.9996	63	166.03	175	651.57	672	530.4	548	400.73	428	119.0009	123	379.049	398	210.03	228	240.08	247
chr1	11913610	11914111	322.011	395	217.961	293	255.017	444	257.975	433	289.958	406	296.07	528	450.975	769	109	215	389.015	450	402.2	696	89.0005	113	135.93	203	714.4	985	1100.37	1645	393.76	633	178.0015	199	126.985	224	350.6	428	181.09	301
chr1	11983285	11983786	415.025	439	489.019	518	409.916	502	276.97	382	492.993	537	536.993	583	953.092	1068	197	239	735.001	788	807.16	894	93	104	161.95	232	671.9	1037	1395.6	1498	639.46	708	190.0009	271	154.013	220	360.25	413	292.04	333
chr1	12005405	12005906	847.969	884	712.054	810	664.05	723	193.056	636	724.005	751	579.99	602	1074.074	1138	242	281	811.985	844	505.09	567	39.9998	48	153.94	177	675.37	1007	2716.6	2928	666.56	767	201.0005	209	124	413	358.94	383	285.07	295
chr1	12501441	12501942	648.039	677	18.983	148	598.029	634	995.989	1062	452.026	520	403.019	438	674.935	703	258	286	488.014	501	757.96	841	75.0002	82	198.45	374	986.91	1240	1641.44	1718	949.16	1013	57.0002	144	992.969	1033	396.1	520	374.75	405
chr1	16013168	16013669	90.032	358	85.002	229	108.008	490	70.019	178	86.983	390	125.954	931	129.021	875	34	362	102.03	498	100	573	13.0003	82	5.01	89	109.86	881	546.12	3035	138.17	723	14.9997	233	107.006	187	15.04	132	31.96	296
chr1	16301911	16302412	701.958	734	640.066	704	6.02	398	721.986	772	525.894	554	670.024	698	892.026	964	200	276	748	772	984.76	1048	153.9998	162	513.76	542	1606.98	1700	1916.22	1980	882.8	922	191.9992	202	499.988	542	481.18	514	501.76	526
chr1	16302019	16302520	701.958	734	640.066	704	6.02	398	721.986	772	525.894	554	670.024	698	892.026	964	200	276	748	772	984.76	1048	153.9998	162	513.76	542	1606.98	1700	1916.22	1980	882.8	922	191.9992	202	499.988	542	481.18	514	501.76	526
chr1	17536157	17536658	174.018	238	413.992	458	666.058	788	351.996	504	162.006	238	329.916	916	902.074	1068	166	246	600.03	694	972.86	1124	80.0012	102	665.62	726	1317.98	1486	2795.58	2978	686.36	1048	179.9988	250	424.078	574	644.34	682	402.12	598
chr1	17536166	17536667	174.018	238	413.992	458	666.058	788	351.996	504	162.006	238	329.916	916	902.074	1068	166	246	600.03	694	972.86	1124	80.0012	102	665.62	726	1317.98	1486	2795.58	2978	686.36	1048	179.9988	250	424.078	574	644.34	682	402.12	598
chr1	18716730	18717231	50.976	3379	13.917	3307	67.031	2221	44.089	3515	63.907	2763	39.939	2332	45.973	2948	71	593	135.893	3388	26.03	1086	277.0006	816	14.04	320	76.54	2884	422.48	6461	42.08	1453	219.0005	634	40.828	3772	162.82	396	20.81	607
chr1	18905048	18905549	135.989	150	78.989	83	158.02	169	146.969	164	77.006	80	133.005	138	210.02	226	74	77	162.003	164	291.11	302	54.0002	59	189.12	194	387.89	400	644.65	696	245.83	261	97.0007	105	50.001	83	86.99	97	122.08	131
chr1	19325526	19326027	757	890	799.913	921	155.027	1054	102.999	697	648.965	878	745.095	1103	818.941	1268	195	319	940.997	1039	520.34	647	115.0005	132	353.98	385	1104.04	1340	4593.35	4899	755.56	956	337.0019	390	12.997	637	405	451	370.2	428
chr1	20791270	20791771	244.982	287	185.989	218	115.959	451	363.007	407	267.968	290	370.035	390	602.017	675	93	146	393.983	416	622.29	682	356.9976	379	263.2	300	959.3	1030	789.86	845	583.65	630	223.9986	255	252.034	278	415.19	446	330.08	363
