chrom	start	end	tissue number	difference	tissue methylation	other tissue methylation
chr1	823448	823449	0	0.2537145621902289	0.5889894736842105	0.8427040358744394
chr1	798907	798908	0	0.2605763157894738	0.6669999999999999	0.9275763157894737
chr1	125413	125414	0	0.28632505481531456	0.875	0.5886749451846854
chr1	268036	268037	0	0.26586440677966106	0.4	0.13413559322033897
chr1	865269	865270	0	0.2976785714285717	0.6669999999999999	0.9646785714285716
chr1	181540	181541	0	0.3511278350515464	0.19980000000000003	0.5509278350515464
chr1	916409	916410	0	0.2786665371162068	0.891698795180723	0.6130322580645162
chr1	867085	867086	0	0.29091904761904763	0.9666333333333333	0.6757142857142857
chr1	873203	873204	1	0.3076586746586746	0.4357179487179488	0.7433766233766234
chr1	288973	288974	1	0.3166333333333333	0.5	0.8166333333333333
chr1	898866	898867	1	0.3263191489361704	0.9110000000000003	0.5846808510638298
chr1	905465	905466	1	0.3679929146537842	0.38514074074074073	0.01714782608695652
chr1	136845	136846	1	0.32746511627906993	0.5559999999999999	0.8834651162790699
chr1	905475	905476	1	0.35218137254901966	0.4104166666666667	0.05823529411764706
chr1	898088	898089	1	0.39049999999999996	0.703125	0.31262500000000004
chr1	181475	181476	1	0.34781920281519746	0.49264788732394366	0.8404670901391411
chr1	905532	905533	1	0.41233936403508775	0.5207604166666667	0.10842105263157895
chr1	898895	898896	1	0.40620114942528734	0.8851666666666667	0.4789655172413793
chr1	912279	912280	1	0.6751720430107526	0.9333333333333333	0.25816129032258067
chr1	912902	912903	1	0.3805699745547074	0.6032366412213741	0.22266666666666665
chr1	877379	877380	1	0.4636270588235295	0.37635294117647056	0.8399800000000001
chr1	912915	912916	1	0.5075200905489532	0.6128709677419356	0.10535087719298246
chr1	752449	752450	1	0.46838709677419355	0.5	0.9683870967741935
chr1	904237	904238	2	0.21236363636363648	0.666909090909091	0.45454545454545453
chr1	838332	838333	2	0.21600000000000008	0.4139999999999999	0.63
chr1	890606	890607	2	0.2174537499999999	0.51590625	0.7333599999999999
chr1	634920	634921	2	0.24355170786516855	0.81	0.5664482921348315
chr1	600635	600636	2	0.329375	0.4	0.729375
chr1	819720	819721	2	0.6430113636363637	0.0	0.6430113636363637
chr1	605419	605420	2	0.25025	0.0	0.25025
chr1	866897	866898	2	0.3387862215909092	0.5	0.8387862215909092
chr1	292235	292236	2	0.475	0.125	0.6
chr1	626079	626080	2	0.3066411483253588	0.5266315789473685	0.8332727272727273
chr1	181631	181632	3	0.2327317073170735	0.5852682926829268	0.8180000000000003
chr1	770967	770968	3	0.23484005287508292	0.7060588235294117	0.9408988764044947
chr1	913100	913101	3	0.23513613684960766	0.9075869565217388	0.6724508196721312
chr1	188549	188550	3	0.2508710826210826	0.7309807692307693	0.9818518518518519
chr1	898212	898213	3	0.25348899371069183	0.3020943396226415	0.5555833333333333
chr1	887172	887173	3	0.2650522528160201	0.6170212765957447	0.8820735294117648
chr1	894005	894006	3	0.2493162280701755	0.6843157894736842	0.9336320175438597
chr1	181000	181001	3	0.2588196480938415	0.47650000000000003	0.7353196480938415
chr1	898144	898145	3	0.25752847152847147	0.35169230769230775	0.6092207792207792
chr1	591100	591101	3	0.2967833333333334	0.65025	0.9470333333333334
chr1	856476	856477	3	0.28495121951219526	0.6669999999999999	0.9519512195121952
chr1	591116	591117	3	0.30214285714285716	0.625	0.9271428571428572
chr1	833793	833794	3	0.31299099099099104	0.6669999999999999	0.979990990990991
chr1	865285	865286	3	0.2630520581113803	0.6669999999999999	0.9300520581113803
chr1	841325	841326	3	0.3376296296296296	0.6	0.9376296296296296
chr1	597862	597863	4	0.2330000000000001	0.6	0.8330000000000001
chr1	885811	885812	4	0.23881818181818193	0.875	0.6361818181818181
chr1	910435	910436	4	0.2611600496277916	0.5191923076923077	0.25803225806451613
chr1	880230	880231	4	0.2924657534246575	0.5	0.7924657534246575
chr1	889225	889226	4	0.27322368421052634	1.0	0.7267763157894737
chr1	270814	270815	5	0.2502937948501477	0.9808155339805825	0.7305217391304348
chr1	882139	882140	5	0.23771638762049707	0.8519629629629629	0.6142465753424659
chr1	129331	129332	5	0.25423737373737376	0.9614999999999999	0.7072626262626261
chr1	894406	894407	5	0.26371428847372247	0.5286981132075472	0.26498382473382476
chr1	880693	880694	5	0.33581897945047334	0.7051147540983607	0.3692957746478873
chr1	866907	866908	5	0.27749999999999997	1.0	0.7225
chr1	856488	856489	6	0.24376760563380295	0.6669999999999999	0.9107676056338029
chr1	913142	913143	6	0.2519048732943471	0.4740210526315789	0.725925925925926
chr1	191112	191113	6	0.2591495098039216	0.6985588235294117	0.9577083333333333
chr1	876364	876365	6	0.25558193277310925	0.625	0.8805819327731093
chr1	853851	853852	6	0.2853333333333333	0.6669999999999999	0.9523333333333333
chr1	912435	912436	6	0.2777332089552239	0.5221417910447761	0.799875
chr1	186660	186661	6	0.2605403127014829	0.6384468085106383	0.8989871212121212
chr1	898878	898879	6	0.2547171717171717	0.3547272727272728	0.6094444444444445
chr1	191549	191550	6	0.3437591204397802	0.4492753623188406	0.7930344827586208
chr1	915973	915974	6	0.28692319508448544	0.483505376344086	0.7704285714285715
chr1	869564	869565	6	0.4296383508891154	0.42227522935779815	0.8519135802469135
chr1	190114	190115	6	0.28349452269170583	0.605394366197183	0.8888888888888888
chr1	270893	270894	6	0.31208098591549305	0.563169014084507	0.8752500000000001
chr1	915976	915977	6	0.31434799608993147	0.5479247311827957	0.8622727272727272
chr1	906382	906383	6	0.48205440613026795	0.13861111111111113	0.6206655172413791
chr1	191525	191526	6	0.39534959349593496	0.4513170731707317	0.8466666666666667
chr1	906380	906381	6	0.4196882636060718	0.30624324324324326	0.7259315068493151
chr1	906386	906387	6	0.3892187986844385	0.42206422018348627	0.8112830188679248
chr1	868047	868048	6	0.3659986273164035	0.37112903225806454	0.737127659574468
chr1	181436	181437	7	0.6099518072289157	0.125	0.7349518072289157
chr1	181415	181416	7	0.6362	0.0	0.6362
chr1	777984	777985	7	0.6148022598870055	0.3333333333333333	0.9481355932203389
chr1	867183	867184	7	0.6414285714285715	0.1875	0.8289285714285715
chr1	777912	777913	7	0.6321070234113713	0.34615384615384615	0.9782608695652174
chr1	181503	181504	7	0.6363793103448275	0.25	0.8863793103448275
chr1	845788	845789	7	0.6208735150244584	0.2962962962962963	0.9171698113207547
chr1	872656	872657	7	0.6384473684210525	0.2	0.8384473684210526
chr1	866995	866996	7	0.6567857142857142	0.1875	0.8442857142857142
chr1	883029	883030	7	0.6164655172413793	0.3103448275862069	0.9268103448275862
chr1	889463	889464	7	0.6514732142857143	0.2857142857142857	0.9371875
chr1	270835	270836	7	0.6416957862281604	0.2857142857142857	0.9274100719424461
chr1	181636	181637	7	0.6726190476190477	0.2857142857142857	0.9583333333333334
chr1	181368	181369	7	0.6426896551724137	0.3	0.9426896551724138
chr1	779896	779897	7	0.7581034482758621	0.20689655172413793	0.965
chr1	780043	780044	7	0.7337333333333331	0.23333333333333334	0.9670666666666665
chr1	883150	883151	7	0.6943564356435644	0.05	0.7443564356435645
chr1	181672	181673	7	0.703516129032258	0.2	0.9035161290322581
chr1	778007	778008	7	0.6664772727272728	0.21875	0.8852272727272728
chr1	867005	867006	7	0.7008014705882353	0.058823529411764705	0.759625
chr1	181175	181176	7	0.6987500000000001	0.0	0.6987500000000001
chr1	181438	181439	7	0.6431428571428572	0.125	0.7681428571428572
chr1	845543	845544	7	0.6545787451150674	0.2857142857142857	0.9402930308293531
chr1	181379	181380	7	0.6376623376623376	0.3	0.9376623376623376
chr1	777995	777996	7	0.6900823857302117	0.1794871794871795	0.8695695652173913
chr1	778100	778101	7	0.7652857142857142	0.08571428571428572	0.851
chr1	181455	181456	7	0.6954328358208954	0.2	0.8954328358208955
chr1	181525	181526	7	0.7363333333333334	0.0	0.7363333333333334
chr1	902471	902472	7	0.6638095238095238	0.17142857142857143	0.8352380952380952
chr1	778108	778109	7	0.6464646464646464	0.24242424242424243	0.8888888888888888
chr1	181628	181629	7	0.6373626373626374	0.2857142857142857	0.9230769230769231
chr1	866848	866849	7	0.8650792280345352	0.0	0.8650792280345352
chr1	181449	181450	7	0.7683333333333336	0.16666666666666666	0.9350000000000003
chr1	181441	181442	7	0.8035714285714286	0.125	0.9285714285714286
chr1	181473	181474	7	0.8000075000000001	0.0	0.8000075000000001
chr1	730742	730743	7	0.7863071895424837	0.17647058823529413	0.9627777777777778
chr1	181197	181198	7	0.8585980392156864	0.0	0.8585980392156864
chr1	181158	181159	7	0.9668666666666667	0.0	0.9668666666666667
chr1	730751	730752	7	0.7491063348416289	0.17647058823529413	0.9255769230769231
chr1	181013	181014	7	0.7777777777777778	0.0	0.7777777777777778
chr1	127491	127492	7	0.6749750132485427	0.11764705882352941	0.7926220720720721
chr1	181667	181668	7	0.7520602409638555	0.2	0.9520602409638554
chr1	181118	181119	7	0.9271428571428572	0.0	0.9271428571428572
chr1	181092	181093	7	0.8841176470588236	0.0	0.8841176470588236
chr1	181138	181139	7	0.8887777777777778	0.0	0.8887777777777778
chr1	289423	289424	7	0.8033389830508475	0.0	0.8033389830508475
chr1	181420	181421	7	0.7646634615384615	0.125	0.8896634615384615
chr1	181071	181072	7	0.9377500000000001	0.0	0.9377500000000001
chr1	780023	780024	7	0.7784577789845235	0.20689655172413793	0.9853543307086614
chr1	181168	181169	7	0.8653378378378378	0.0	0.8653378378378378
chr1	181106	181107	7	0.7501666666666664	0.0	0.7501666666666664
chr1	181675	181676	7	0.7431428571428573	0.2	0.9431428571428573
chr1	909009	909010	7	0.9498165983606558	0.0	0.9498165983606558
chr1	780052	780053	7	0.7896958125939636	0.1724137931034483	0.9621096056974119
chr1	181187	181188	7	0.9073313953488372	0.0	0.9073313953488372
chr1	181152	181153	7	0.9518749999999999	0.0	0.9518749999999999
chr1	181426	181427	7	0.7299189189189189	0.0	0.7299189189189189
chr1	190775	190776	7	0.920625	0.0	0.920625
chr1	505785	505786	7	0.8696956521739131	0.0	0.8696956521739131
chr1	777936	777937	7	0.6955067567567568	0.24324324324324326	0.93875
chr1	181173	181174	7	0.8543187895847995	0.0	0.8543187895847995
chr1	780010	780011	7	0.8667857142857143	0.10714285714285714	0.9739285714285714
chr1	181100	181101	7	0.9210526315789473	0.0	0.9210526315789473
chr1	181149	181150	7	0.930813953488372	0.0	0.930813953488372
chr1	181018	181019	7	0.8406818181818182	0.0	0.8406818181818182
chr1	780008	780009	7	0.7806122448979591	0.17857142857142858	0.9591836734693877
chr1	181647	181648	7	0.7961111111111112	0.16666666666666666	0.9627777777777778
chr1	779902	779903	7	0.6883712121212122	0.23333333333333334	0.9217045454545455
chr1	181998	181999	7	0.7138571428571429	0.0	0.7138571428571429
chr1	181054	181055	7	0.9443333333333334	0.0	0.9443333333333334
chr1	181026	181027	7	0.8616216216216218	0.0	0.8616216216216218
chr1	919531	919532	7	0.7227089947089946	0.14814814814814814	0.8708571428571428
chr1	181181	181182	7	0.844398076923077	0.0	0.844398076923077
chr1	181178	181179	7	0.8884564393939394	0.0	0.8884564393939394
chr1	909047	909048	7	0.9406317204301073	0.0	0.9406317204301073
chr1	181274	181275	7	0.909	0.0	0.909
chr1	181146	181147	7	0.9569565217391305	0.0	0.9569565217391305
chr1	181639	181640	7	0.8270020120724346	0.14285714285714285	0.9698591549295774
chr1	841480	841481	8	0.34566801619433185	0.6153846153846154	0.9610526315789473
chr1	860695	860696	8	0.36559803921568634	0.5	0.8655980392156863
chr1	917005	917006	8	0.36403125000000003	0.39603125	0.032
chr1	870246	870247	8	0.3273517468447046	0.6819090909090909	0.3545573440643863
chr1	841596	841597	8	0.41233532934131745	0.5	0.9123353293413174
chr1	916758	916759	8	0.42585474189675865	0.4872016806722689	0.06134693877551021
chr1	916764	916765	8	0.37786153846153847	0.4238	0.04593846153846154
chr1	916761	916762	8	0.7791025641025642	0.8804358974358976	0.10133333333333333
chr1	916792	916793	8	0.7337689976689976	0.9152538461538461	0.18148484848484847
chr1	916833	916834	8	0.41808115942028984	0.4614	0.043318840579710145
chr1	817073	817074	8	0.7878171401515152	0.8183181818181818	0.030501041666666666
chr1	844201	844202	8	0.49777584059775837	0.4113150684931507	0.9090909090909091
chr1	916635	916636	8	0.6488139534883719	0.8488139534883719	0.2
chr1	916801	916802	8	0.8065232100708104	0.9516451612903226	0.1451219512195122
chr1	916718	916719	8	0.6123581427108228	0.7327029702970297	0.1203448275862069
chr1	841518	841519	8	0.4442666666666666	0.5002	0.9444666666666666
chr1	640474	640475	9	0.2167934782608697	0.6299999999999999	0.8467934782608696
chr1	727762	727763	9	0.22493333333333332	0.75	0.9749333333333333
chr1	137731	137732	9	0.2305625	0.7525	0.9830625
chr1	899086	899087	9	0.22410111835973923	0.6699999999999999	0.8941011183597392
chr1	819128	819129	9	0.23097701149425282	0.3106896551724138	0.5416666666666666
chr1	819075	819076	9	0.24359090909090908	0.6120454545454546	0.8556363636363636
chr1	917992	917993	9	0.23716913069189827	0.5268421052631579	0.7640112359550562
chr1	818863	818864	9	0.2477652173913043	0.7088	0.9565652173913043
chr1	917697	917698	9	0.233826923076923	0.59925	0.8330769230769229
chr1	911760	911761	9	0.24053522727272725	0.4083333333333333	0.6488685606060606
chr1	595908	595909	9	0.25364999999999993	0.665	0.91865
chr1	190728	190729	9	0.25	0.5	0.75
chr1	842605	842606	9	0.31869375	0.625	0.94369375
chr1	722698	722699	9	0.4520542168674697	0.5	0.9520542168674697
chr1	755267	755268	9	0.5	0.5	1.0
chr1	912008	912009	9	0.34851353164840077	0.4001176470588235	0.7486311787072243
chr1	912012	912013	9	0.4149021104625055	0.47023529411764703	0.8851374045801526
chr1	818829	818830	9	0.28509992132179396	0.5856097560975609	0.8707096774193549
chr1	899088	899089	9	0.487625	0.4	0.887625
chr1	727149	727150	9	0.3682608695652173	0.5	0.8682608695652173
chr1	594295	594296	9	0.5512349593495935	0.3333333333333333	0.8845682926829268
chr1	191589	191590	10	0.3981158371040724	0.30770769230769235	0.7058235294117647
chr1	919414	919415	10	0.40321623188405803	0.4666533333333333	0.8698695652173913
chr1	181170	181171	10	0.4031171328671329	1.0	0.5968828671328671
chr1	919429	919430	10	0.4047936063936064	0.3571714285714286	0.761965034965035
chr1	181515	181516	10	0.413453237410072	1.0	0.586546762589928
chr1	181260	181261	10	0.44791666666666674	0.5	0.9479166666666667
chr1	191222	191223	10	0.4377598522167488	0.4857142857142857	0.9234741379310345
chr1	774837	774838	10	0.43999999999999995	0.5	0.94
chr1	908110	908111	10	0.46615015479876165	0.23532352941176468	0.7014736842105264
chr1	913112	913113	10	0.4319069767441862	0.25	0.6819069767441862
chr1	876619	876620	10	0.4205675876411171	0.8181818181818182	0.3976142305407011
chr1	913550	913551	10	0.4401498829039812	0.42857142857142855	0.8687213114754098
chr1	913717	913718	10	0.4558648648648649	0.4	0.8558648648648649
chr1	869618	869619	10	0.48874077501445923	0.5897384615384615	0.10099768652400232
chr1	918455	918456	10	0.514183615819209	0.3333333333333333	0.8475169491525424
chr1	915048	915049	10	0.46906542207792207	0.3750125	0.8440779220779221
chr1	869865	869866	10	0.5	0.5	0.0
chr1	869908	869909	10	0.5	0.5	0.0
chr1	919358	919359	10	0.4527817067421029	0.42857142857142855	0.8813531353135314
chr1	605444	605445	10	0.4462941287878788	0.68750625	0.2412121212121212
chr1	869892	869893	10	0.5	0.5	0.0
chr1	818804	818805	10	0.4784470682730925	0.4666533333333333	0.9451004016064258
chr1	869611	869612	10	0.4786023610053313	0.5384538461538462	0.05985148514851484
chr1	182944	182945	10	0.607	0.25	0.857
chr1	869902	869903	10	0.9893125	1.0	0.0106875
chr1	29336	29337	10	1.0	1.0	0.0
chr1	914901	914902	10	0.5845519125683061	0.3333333333333333	0.9178852459016394
chr1	888710	888711	10	0.591421978021978	0.14288571428571428	0.7343076923076923
chr1	625842	625843	10	0.775	0.0	0.775
chr1	730020	730021	10	0.6300333333333334	0.3333	0.9633333333333334
chr1	853535	853536	10	0.6666666666666667	0.3333333333333333	1.0
chr1	910837	910838	10	0.6	0.0	0.6
chr1	900110	900111	10	0.6038943722943722	0.21425714285714287	0.8181515151515151
chr1	869900	869901	10	0.5	0.5	0.0
chr1	919495	919496	10	0.5318	0.3636	0.8954000000000001
chr1	914032	914033	10	0.5641497549019607	0.2499875	0.8141372549019608
chr1	907801	907802	10	0.7222744680851063	0.2143	0.9365744680851064
